obligation_id,obligation,article,roles,risk_categories,deadline,evidence_artifact,evidence_description,annex_iv_section,audit_red_flags,source_urls
obl-art11-technical-documentation,Draw up & maintain the Annex IV technical file,Article 11; Annex IV,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.; No compliance matrix mapping each requirement to the specific evidence that satisfies it.,https://artificialintelligenceact.eu/article/11/; https://artificialintelligenceact.eu/annex/4/
obl-art11-technical-documentation,Draw up & maintain the Annex IV technical file,Article 11; Annex IV,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Requirement-to-evidence compliance matrix,A matrix mapping each Annex IV requirement to the specific document/section/evidence that satisfies it. Explicitly what auditors ask for.,anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.; No compliance matrix mapping each requirement to the specific evidence that satisfies it.,https://artificialintelligenceact.eu/article/11/; https://artificialintelligenceact.eu/annex/4/
obl-art6-classify-high-risk,Classify the system against Article 6 / Annex III,Article 6; Annex III,Provider; Deployer,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,High-risk classification decision record,"Documented Article 6 determination: Annex III domain + function match (or 6(1) product route), and any 6(3) exception justification.",,Relying on the Article 6(3) 'not significant risk' exception without a documented justification.,https://artificialintelligenceact.eu/article/6/; https://artificialintelligenceact.eu/annex/3/; https://digital-strategy.ec.europa.eu/en/library/draft-commission-guidelines-classification-high-risk-ai-systems
obl-art49-database-registration,Register in the EU database,Article 49,Provider; Deployer,High-risk (Annex III use case),2027-12-02,EU database registration confirmation,Proof of registration of the high-risk system in the EU database prior to placement/service.,,,https://artificialintelligenceact.eu/article/49/
obl-art43-conformity-assessment,Complete conformity assessment before market,Article 43,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,EU Declaration of Conformity,Signed declaration that the high-risk system meets AIA requirements (Annex IV(7)).,anx-4-7,,https://artificialintelligenceact.eu/article/43/
obl-art43-conformity-assessment,Complete conformity assessment before market,Article 43,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,,https://artificialintelligenceact.eu/article/43/
obl-art50-ai-interaction-disclosure,Disclose AI interaction to users,Article 50,Provider,Limited-risk / transparency,2026-08-02,Transparency / disclosure notice,The user-facing notice or in-product disclosure evidencing Article 50 duties (AI interaction / deepfake disclosure).,,,https://artificialintelligenceact.eu/article/50/
obl-art50-synthetic-content-marking,Mark AI-generated content machine-readably,Article 50,Provider; GPAI model provider,Limited-risk / transparency,2026-08-02,Machine-readable content marking,Technical marking (e.g. watermark/metadata/provenance) making AI-generated content detectable as artificial.,,,https://artificialintelligenceact.eu/article/50/
obl-art50-deepfake-disclosure,Disclose deepfakes,Article 50,Deployer,Limited-risk / transparency,2026-08-02,Transparency / disclosure notice,The user-facing notice or in-product disclosure evidencing Article 50 duties (AI interaction / deepfake disclosure).,,,https://artificialintelligenceact.eu/article/50/
obl-art53-gpai-documentation,GPAI provider documentation & copyright,Article 53,GPAI model provider,GPAI model; GPAI model with systemic risk,2025-08-02,GPAI model documentation,Up-to-date model documentation for authorities and downstream providers.,,,https://artificialintelligenceact.eu/article/53/; https://en.wikipedia.org/wiki/General-Purpose_AI_Code_of_Practice
obl-art53-gpai-documentation,GPAI provider documentation & copyright,Article 53,GPAI model provider,GPAI model; GPAI model with systemic risk,2025-08-02,Training-content summary,Sufficiently detailed public summary of content used to train the GPAI model.,,,https://artificialintelligenceact.eu/article/53/; https://en.wikipedia.org/wiki/General-Purpose_AI_Code_of_Practice
